83.72,Recession of tendon
69.97,Removal of other penetrating foreign body from cervix
793.5,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs
37.77,Removal of lead(s) [electrode] without replacement
904.8,Injury to unspecified blood vessel of lower extremity
575.8,Other specified disorders of gallbladder
206.21,"Subacute monocytic leukemia, in remission"
949.1,"Erythema [first degree], unspecified site"
789.69,"Abdominal tenderness, other specified site"
789.67,"Abdominal tenderness, generalized"
E850.3,Accidental poisoning by salicylates
764.09,"""Light-for-dates"" without mention of fetal malnutrition, 2,500 grams and over"
78.28,"Limb shortening procedures, tarsals and metatarsals"
438,Late effects of cerebrovascular disease
295.53,"Latent schizophrenia, subchronic with acute exacerbation"
209.33,Merkel cell carcinoma of the upper limb
803.36,"Other closed skull fracture with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
09.44,Intubation of nasolacrimal duct
674.92,"Unspecified complications of puerperium, delivered, with mention of postpartum complication"
674.90,"Unspecified complications of puerperium, unspecified as to episode of care or not applicable"
E920.9,Accidents caused by unspecified cutting and piercing instrument or object
369.66,One eye: near-total vision impairment; other eye: normal vision
E815.7,Other motor vehicle traffic accident involving collision on the highway injuring pedestrian
E815.5,Other motor vehicle traffic accident involving collision on the highway injuring rider of animal; occupant of animal-drawn vehicle
774.3,Neonatal jaundice due to delayed conjugation from other causes
E931.6,Anthelmintics causing adverse effects in therapeutic use
852.59,"Extradural hemorrhage following injury with open intracranial wound, with concussion, unspecified"
56.94,Removal of electronic ureteral stimulator
323.1,"Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere"
58.92,Excision of periurethral tissue
530.20,Ulcer of esophagus without bleeding
202.96,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrapelvic lymph nodes"
03.79,Other shunt of spinal theca
37.64,Removal of external heart assist system(s) or device(s)
91.24,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, parasitology"
805.3,Open fracture of dorsal [thoracic] vertebra without mention of spinal cord injury
017.94,"Tuberculosis of other specified organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
873.8,Other and unspecified open wound of head without mention of complication
017.96,"Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
250.31,"Diabetes with other coma, type I [juvenile type], not stated as uncontrolled"
765.25,29-30 completed weeks of gestation
782.5,Cyanosis
365.2,Primary angle-closure glaucoma
160,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses"
942.01,Burn of unspecified degree of breast
711.55,"Arthropathy associated with other viral diseases, pelvic region and thigh"
711.53,"Arthropathy associated with other viral diseases, forearm"
599.84,Other specified disorders of urethra
277.85,Disorders of fatty acid oxidation
35.99,Other operations on valves of heart
V49.84,Bed confinement status
758.89,Other conditions due to chromosome anomalies
747,Other congenital anomalies of circulatory system
249.2,Secondary diabetes mellitus with hyperosmolarity
E943.8,Other specified agents primarily affecting the gastro-intestinal system causing adverse effects in therapeutic use
015.84,"Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
60.72,Incision of seminal vesicle
96.71,Continuous invasive mechanical ventilation for less than 96 consecutive hours
03.7,Shunt of spinal theca
715.18,"Osteoarthrosis, localized, primary, other specified sites"
715.16,"Osteoarthrosis, localized, primary, lower leg"
E810.9,Motor vehicle traffic accident involving collision with train injuring unspecified person
68.1,Diagnostic procedures on uterus and supporting structures
749.11,"Cleft lip, unilateral, complete"
787.02,Nausea alone
87.4,Other x-ray of thorax
787.04,Bilious emesis
91.11,"Microscopic examination of peritoneal and retroperitoneal specimen, bacterial smear"
533.30,"Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, without mention of obstruction"
79.68,"Debridement of open fracture site, phalanges of foot"
90.31,"Microscopic examination of specimen from ear, nose, throat, and larynx, bacterial smear"
295.83,"Other specified types of schizophrenia, subchronic with acute exacerbation"
652.2,Breech presentation without mention of version
941.15,Erythema [first degree] of nose (septum)
312.1,"Undersocialized conduct disorder, unaggressive type"
093.22,Syphilitic endocarditis of aortic valve
093.20,"Syphilitic endocarditis of valve, unspecified"
488.81,Influenza due to identified novel influenza A virus with pneumonia
201.78,"Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites"
852,"Subarachnoid, subdural, and extradural hemorrhage, following injury"
17.54,Percutaneous atherectomy of intracranial vessel(s)
862.8,"Injury to multiple and unspecified intrathoracic organs, without mention of open wound into cavity"
90.09,"Microscopic examination of specimen from nervous system and of spinal fluid, other microscopic examination"
337.00,"Idiopathic peripheral autonomic neuropathy, unspecified"
E850,"Accidental poisoning by analgesics, antipyretics, and antirheumatics"
998.4,Foreign body accidentally left during a procedure
751.7,Anomalies of pancreas
567.0,Peritonitis in infectious diseases classified elsewhere
371.55,Macular corneal dystrophy
799.52,Cognitive communication deficit
35.00,"Closed heart valvotomy, unspecified valve"
046.11,Variant Creutzfeldt-Jakob disease
942.33,"Full-thickness skin loss [third degree, not otherwise specified] of abdominal wall"
942.31,"Full-thickness skin loss [third degree,not otherwise specified] of breast"
736,Other acquired deformities of limbs
348.30,"Encephalopathy, unspecified"
996.46,Articular bearing surface wear of prosthetic joint
576.2,Obstruction of bile duct
V26.2,Procreation management investigation and testing
865.13,"Injury to spleen with open wound into cavity, laceration extending into parenchyma"
422.9,Other and unspecified acute myocarditis
80.85,"Other local excision or destruction of lesion of joint, hip"
904.40,"Injury to popliteal vessel(s), unspecified"
669.6,"Breech extraction, without mention of indication"
93.58,Application of pressure trousers
E833.8,Fall on stairs or ladders in water transport injuring other specified person
V28.3,Encounter for routine screening for malformation using ultrasonics
E833.6,"Fall on stairs or ladders in water transport injuring dockers, stevedores"
669.9,Unspecified complication of labor and delivery
996.76,"Other complications due to genitourinary device, implant, and graft"
V43.83,Artificial skin replacement
79.90,"Unspecified operation on bone injury, unspecified site"
738.11,Zygomatic hyperplasia
43.91,Total gastrectomy with intestinal interposition
48.50,"Abdominoperineal resection of the rectum, not otherwise specified"
373.11,Hordeolum externum
610.1,Diffuse cystic mastopathy
015.26,"Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
718.31,"Recurrent dislocation of joint, shoulder region"
053.19,Herpes zoster with other nervous system complications
89.14,Electroencephalogram
945.43,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of ankle"
E979-E979.9,TERRORISM
656.5,Poor fetal growth affecting management of mother
173.52,"Squamous cell carcinoma of skin of trunk, except scrotum"
998.02,"Postoperative shock, septic"
998.00,"Postoperative shock, unspecified"
732.5,Juvenile osteochondrosis of foot
315.2,Other specific developmental learning difficulties
944.27,"Blisters, epidermal loss [second degree] of wrist"
01.02,Ventriculopuncture through previously implanted catheter
E897,Accident caused by controlled fire not in building or structure
868.1,Injury to other intra-abdominal organs with open wound into cavity
654.54,"Cervical incompetence, postpartum condition or complication"
20.32,Biopsy of middle and inner ear
E901.8,Accident due to excessive cold of other specified origin
711.94,"Unspecified infective arthritis, hand"
23,Removal and restoration of teeth
985.3,Toxic effect of beryllium and its compounds
378.03,Monocular esotropia with V pattern
823.01,Closed fracture of upper end of fibula alone
323.4,"Other encephalitis, myelitis, and encephalomyelitis due to other infections classified elsewhere"
874.2,"Open wound of thyroid gland, without mention of complication"
87.49,Other chest x-ray
87.33,Mediastinal pneumogram
987.4,Toxic effect of freon
967.6,"Poisoning by mixed sedatives, not elsewhere classified"
873.42,"Open wound of forehead, without mention of complication"
873.40,"Open wound of face, unspecified site, without mention of complication"
55.2,Diagnostic procedures on kidney
302.84,Sexual sadism
302.82,Voyeurism
768.70,"Hypoxic-ischemic encephalopathy, unspecified"
281.1,Other vitamin B12 deficiency anemia
768.72,Moderate hypoxic-ischemic encephalopathy
638.8,Failed attempted abortion with unspecified complication
33.22,Fiber-optic bronchoscopy
242.41,Thyrotoxicosis from ectopic thyroid nodule with mention of thyrotoxic crisis or storm
V63.9,Unspecified reason for unavailability of medical facilities
396,Diseases of mitral and aortic valves
011.95,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
78.88,"Diagnostic procedures on bone, not elsewhere classified, tarsals and metatarsals"
78.72,"Osteoclasis, humerus"
707.01,"Pressure ulcer, elbow"
E967.9,"Perpetrator of child and adult abuse, by unspecified person"
836.54,"Lateral dislocation of tibia, proximal end, closed"
87.93,Contrast epididymogram
755.60,Unspecified anomaly of lower limb
09.91,Obliteration of lacrimal punctum
378.33,Cyclotropia
965.8,Poisoning by other specified analgesics and antipyretics
380.22,Other acute otitis externa
78.75,"Osteoclasis, femur"
521.14,"Excessive attrition, localized"
625.7,Vulvodynia
96.21,Dilation of frontonasal duct
482.82,Pneumonia due to escherichia coli [E. coli]
999.88,Other infusion reaction
V90.11,Retained magnetic metal fragments
745.19,Other transposition of great vessels
820.30,"Open fracture of trochanteric section of neck of femur, unspecified"
743.12,Microphthalmos associated with other anomalies of eye and adnexa
